KEGG Pathway and Enzyme ID	Gene name
00480	2.3.2.2+3.4.19.13	GGTLC2
00430	2.3.2.2	GGTLC2
00460	2.3.2.2	GGTLC2
00600	3.1.3.4	LPIN1
00565	3.1.3.4	LPIN1
00561	3.1.3.4	LPIN1
00564	3.1.3.4	LPIN1
00562	3.1.4.11	PLCG2
04070	3.1.4.11	PLCG2
05165	2.7.11.1	MYO3A
04150	2.7.11.1	MYO3A
04926	2.7.11.1	MYO3A
04714	2.7.11.1	MYO3A
04151	2.7.11.1	MYO3A
00561	2.7.1.30	GK5
04070	2.7.4.24+2.7.4.21	PPIP5K1
05165	2.7.11.1	PAK1
04150	2.7.11.1	PAK1
04926	2.7.11.1	PAK1
04714	2.7.11.1	PAK1
04151	2.7.11.1	PAK1
00520	5.4.2.10	PGM2
00562	3.1.4.11	PLCB4
04070	3.1.4.11	PLCB4
05165	2.7.11.1	WNK4
04150	2.7.11.1	WNK4
04926	2.7.11.1	WNK4
04714	2.7.11.1	WNK4
04151	2.7.11.1	WNK4
00260	1.5.3.1	PIPOX
00561	2.7.1.107	DGKB
04070	2.7.1.107	DGKB
00564	2.7.1.107	DGKB
00760	3.6.1.22	NUDT13
00600	3.5.1.23	ASAH2B
00590	5.3.99.4	PTGIS
00230	2.7.4.8	DLG1
00640	6.2.1.1	ACSS1
00010	6.2.1.1	ACSS1
00680	6.2.1.1	ACSS1
00620	6.2.1.1	ACSS1
00720	6.2.1.1	ACSS1
00380	1.11.1.6	RP1
00630	1.11.1.6	RP1
00020	6.4.1.1	PC
00720	6.4.1.1	PC
00620	6.4.1.1	PC
00680	4.1.2.13	ALDOC
00051	4.1.2.13	ALDOC
00030	4.1.2.13	ALDOC
00010	4.1.2.13	ALDOC
00710	4.1.2.13	ALDOC
05165	2.7.11.1	EIF2AK2
04150	2.7.11.1	EIF2AK2
04926	2.7.11.1	EIF2AK2
04714	2.7.11.1	EIF2AK2
04151	2.7.11.1	EIF2AK2
04660	2.7.10.2	EIF2AK2
00480	4.3.2.7	CHAC2
05165	2.7.11.1	TLK2
04150	2.7.11.1	TLK2
04926	2.7.11.1	TLK2
04714	2.7.11.1	TLK2
04151	2.7.11.1	TLK2
00514	2.4.1.222	MFNG
05165	2.7.11.1	ERN2
04150	2.7.11.1	ERN2
04926	2.7.11.1	ERN2
04714	2.7.11.1	ERN2
04151	2.7.11.1	ERN2
00670	2.1.2.3	ATIC
00230	3.5.4.10+2.1.2.3	ATIC
00270	3.3.1.1	AHCYL2
00513	2.4.1.257+2.4.1.132	ALG2
00510	2.4.1.257+2.4.1.132	ALG2
04658	3.1.3.16	DUSP5
04660	3.1.3.16	DUSP5
00270	2.5.1.16	SRM
00410	2.5.1.16	SRM
00480	2.5.1.16	SRM
00330	2.5.1.16	SRM
00564	1.1.1.94	GPD1L
00564	1.1.1.8	GPD1L
